平均気温(℃)	平均湿度(％)	日照時間(時間)	平均風速(m/s)	平均蒸気圧(hPa)	平均現地気圧(hPa)	平均海面気圧(hPa)
1	86	7.5	1.6	5.6	1014.4	1015.1
2.5	82	4.4	3.2	5.9	1018.9	1019.6
2.3	71	5.5	6.6	5.2	1014.7	1015.4
1.3	69	1.3	6.2	4.6	1023.1	1023.8
4.8	67	6.7	2.6	5.7	1026.1	1026.8
5.1	72	4.9	1.9	6.2	1027.8	1028.5
4.1	79	0.3	4.7	6.5	1007.1	1007.8
2.2	67	4	6.6	4.8	1004.4	1005.1
1.7	78	2.1	6.5	5.3	1011.6	1012.3
4.3	67	0.1	5.6	5.5	1017.5	1018.2
4.9	65	1.1	4	5.5	1020.5	1021.2
2.9	92	0.1	2.3	6.9	1022.5	1023.2
4	84	0.2	2.5	6.8	1028.2	1028.9
5.1	76	6.2	1.6	6.6	1029.1	1029.8
6.5	66	7.5	2.5	6.2	1022.9	1023.6
4.3	58	3.6	2.8	4.8	1028.1	1028.8
3.4	78	1.7	2	6	1026.4	1027.1
1.9	92	2.1	2	6.5	1016.8	1017.5
3.1	92	0.1	2.2	7	1017.8	1018.5
3.3	86	0.5	1.5	6.6	1019.6	1020.3
3.6	81	4.9	3.3	6.4	1016.3	1017
4	71	4.3	3	5.8	1019.3	1020
3.5	75	6.9	1.8	5.8	1026.1	1026.8
6	67	10.2	2.7	6.2	1027.4	1028.1
10.2	65	2.2	3.4	8.2	1023.6	1024.3
3.3	63	6.5	4.6	4.9	1022	1022.7
3.9	68	9	1.5	5.5	1024.6	1025.3
11	65	9.6	1.9	8.3	1025.4	1026.1
14	68	3.1	3.1	10.7	1016.5	1017.2
3.2	62	0.4	2.4	4.8	1028.5	1029.2
4.7	78	1.5	4.4	6.7	1019.1	1019.8
4.5	72	1.1	5.7	6	1021.7	1022.4
5.3	75	2.4	1.7	6.5	1023.3	1024
5.3	89	1.1	3.6	7.9	1006.9	1007.6
1	78	4.1	5.6	5.1	1013.9	1014.6
2.7	84	0.4	4.7	6.3	1014.1	1014.8
2.7	79	0.8	2.3	5.8	1019.9	1020.6
3.3	75	1.3	2.4	5.7	1020.6	1021.3
4.5	54	4.4	2.7	4.5	1015.9	1016.6
3.8	75	5.3	1.9	6	1008.7	1009.4
3.1	77	3	5.3	5.8	1011.4	1012.1
3.2	75	2.8	3.1	5.7	1025	1025.7
5.7	62	7.3	2.7	5.5	1023.7	1024.4
5.3	68	1.5	4.7	6	1013	1013.7
7.2	71	7.2	4.4	7.1	1016.4	1017.1
10.8	67	7.9	5.7	8.5	1016.7	1017.4
8.6	61	11.1	2.7	6.7	1021.4	1022.1
8.3	71	0.2	4.1	7.9	1009.4	1010.1
5	54	3.7	6.4	4.7	1015.3	1016
6.1	58	4.6	2.9	5.3	1015.2	1015.9
3.6	68	6.9	4.5	5.3	1012.6	1013.3
3.8	73	4.7	2.7	5.7	1020.7	1021.4
8.8	85	7.9	2	9.6	1020.1	1020.8
8.3	81	0.2	2.2	8.8	1017.1	1017.8
6.9	72	8.8	2.4	7	1022.9	1023.6
9.8	63	7.7	4.6	7.3	1019.3	1020
12.3	85	2.5	5.5	12.1	1004.8	1005.5
12	65	4.7	3.3	9	1010.5	1011.2
9.9	65	4.2	2.1	7.9	1010.6	1011.3
9.2	65	7.1	2.7	7.4	1010.8	1011.5
10.4	50	6.7	2.1	6.2	1018	1018.7
10.9	81	1.5	2.5	10.5	1011.6	1012.3
9.3	65	10	2	7.5	1020.3	1021
11.5	69	11.4	1.6	9.2	1019.5	1020.2
14.7	69	11.8	1.6	11.3	1017.6	1018.3
15.7	71	8.6	1.8	12.3	1016.2	1016.9
8.1	62	12.1	2.1	6.7	1027.6	1028.3
12.3	61	8.3	1.7	8.4	1025.5	1026.2
14.7	62	11.4	2.3	10.3	1019.9	1020.6
14.2	71	11.9	1.7	11.3	1018.6	1019.3
14.8	70	11.7	1.8	11.5	1021.4	1022.1
17.5	63	10.7	2	11.7	1018.3	1019
17.4	66	2	2.3	13.1	1012.7	1013.4
15.7	80	8	2.8	14.1	1010.7	1011.4
13.4	80	5.7	2	12.2	1007.9	1008.6
13	80	1.1	3.7	12	1009.7	1010.4
12.7	77	8.5	2.4	11.2	1015.6	1016.3
12.3	76	3.1	2.5	10.7	1015.1	1015.8
13.4	79	11.8	2.3	12.1	1012.3	1013
15.3	76	1.7	2.7	13.1	1014	1014.7
14.4	85	2.4	3.5	13.9	1009.1	1009.8
16.8	65	10.8	1.6	11.8	1012.2	1012.9
17	68	4.8	1.6	13.1	1011.2	1011.9
17.5	69	12.5	1.7	13.4	1014.4	1015.1
15.8	84	7.6	2.1	15	1010.9	1011.6
16	89	1.4	2.2	16.2	1003.8	1004.5
12.6	74	0.1	2.9	10.8	1010	1010.7
13.5	77	11.5	1.8	11.9	1016.8	1017.5
15.7	66	13.1	2.3	11.3	1019.1	1019.8
17.1	61	12.9	1.8	11.4	1019.8	1020.5
20.6	51	12.7	1.8	11.9	1018.6	1019.3
21.4	53	0.3	2	13.1	1012.1	1012.8
10.9	83	0.1	3.1	10.8	1012.1	1012.8
10.9	75	6.7	1.9	9.6	1016.3	1017
15.5	56	12.7	1.9	9.3	1019.9	1020.6
20.1	50	13	2.3	11.1	1018.5	1019.2
20	64	4.5	2.7	14.6	1012.4	1013.1
14.9	88	0.1	2.3	15.1	1010.6	1011.3
15.1	76	13.3	1.9	12.8	1016.9	1017.6
19.1	64	6.9	1.7	13.6	1013	1013.7
18.8	70	6.4	5.1	15.3	1003.1	1003.8
16.9	62	5.6	6.5	11.8	1012.7	1013.4
19.5	49	13.6	2.4	10.2	1018.2	1018.9
20.7	52	7.1	1.8	12.4	1016.4	1017.1
15.1	80	4.2	2.7	13.8	1019	1019.7
16.3	72	13.4	1.6	13	1017.3	1018
21.9	61	13.6	2.2	15.4	1010.6	1011.3
18.3	80	4.4	3	16.6	1008.7	1009.4
14.6	72	6.8	2.5	11.9	1017.1	1017.8
17.3	69	12.7	1.5	13.3	1013.5	1014.2
21	73	0.1	2.9	18.1	1002.5	1003.2
15.5	88	4.9	2.4	15.5	1010.3	1011
18.4	68	10	1.9	13.8	1013.4	1014.1
18.7	84	0.1	2.1	18	1007.9	1008.6
18.7	78	10.3	2.7	16.6	1008.7	1009.4
16.7	88	0.5	2.1	16.8	1007.7	1008.4
17.7	84	12.3	2.1	16.9	1008.5	1009.2
17.9	85	9.5	1.8	17.3	1012.6	1013.3
17.8	79	6	1.8	16.1	1019	1019.7
18.1	76	9.8	1.8	15.6	1019.6	1020.3
19.3	75	8.2	1.5	16.5	1016.3	1017
22.4	68	12.6	2.2	18.2	1013.8	1014.5
22.9	65	1.7	2.6	18.2	1010.5	1011.2
21.6	77	5	2.5	19.7	1008.4	1009.1
22.9	77	12.8	1.8	21.3	1008.5	1009.2
24.9	68	13.3	2.1	21	1006.5	1007.1
24.6	72	13.3	2.4	21.8	1004.3	1004.9
23.2	80	13.8	1.7	22.5	1007.8	1008.5
26.3	66	11.2	2.1	22.1	1004.7	1005.3
24	74	3.7	2.7	21.8	1002.9	1003.6
24.3	59	9.1	3.2	17.3	1008.1	1008.7
22.3	72	1.6	2.1	19.2	1005.7	1006.3
22.4	75	13.6	2.7	19.8	1009.4	1010.1
24.5	57	12.3	1.7	16.5	1009	1009.6
24.4	63	2.1	2.1	19.2	1004.2	1004.9
24.4	68	10	1.8	20.7	1005.3	1006
24.6	80	2.7	3.6	24.7	1007.1	1007.8
21.9	79	5.2	2.8	20.7	1014	1014.7
22	68	11.8	1.3	17.6	1014.5	1015.2
22.8	73	0.1	1.3	20.2	1009.3	1010
23.9	80	13.9	1.7	23.7	1009.3	1010
23.4	88	0.6	4.2	25.4	1002.5	1003.1
23.1	83	0.1	2	23.3	1010	1010.7
24.2	89	0.2	2.4	27	1010.7	1011.4
25.4	85	7.3	4.2	27.2	1007.2	1007.9
27.6	75	5.6	2.7	27.2	1005.7	1006.3
26	86	0.2	3.3	28.6	1007.4	1008
27.5	78	4.7	4.1	28.1	1005.9	1006.6
24.7	92	0.3	3.7	28.5	1004.4	1005.1
23.5	90	2.1	2.1	25.8	1000.7	1001.4
23.5	85	4.8	1.5	24.5	1003	1003.6
23.7	81	6.6	1.5	23.5	1009	1009.7
23.6	88	1.7	1.1	25.5	1013	1013.7
24.5	87	1.4	1.7	26.7	1014.4	1015.1
26.7	75	3.2	2.9	26.1	1013.6	1014.3
25.3	89	0.2	2.4	28.5	1012.1	1012.7
28	74	6.4	2.2	27.3	1010.1	1010.7
28.4	74	1.6	2.1	28.3	1008.1	1008.7
26.4	87	4.9	2.6	29.7	1010	1010.7
29.4	74	7.7	2.4	29.6	1009.6	1010.2
28.9	79	5.8	3.8	31.2	1009	1009.6
29.8	71	8.5	2.5	29.6	1007	1007.6
26.2	84	1.5	3.6	28.6	1006.1	1006.7
26.4	85	2.4	3.2	29.3	1008.2	1008.9
28.9	78	5.8	2.3	31	1014.6	1015.2
28.9	82	3.3	2.2	32.4	1017.1	1017.7
28.2	81	2.4	5.6	31	1005.8	1006.4
28	85	4.4	4.8	31.8	1002.3	1002.9
26.7	83	5.7	2.8	29.1	1005	1005.6
26.7	78	7.7	1.5	27.3	1006.4	1007.1
27.8	77	12.7	1.8	28.3	1006	1006.6
28.5	79	9	1.6	30.7	1007.3	1007.9
29.2	81	11.4	1.7	32.7	1007.6	1008.2
28.1	86	6.1	2.1	32.6	1007.5	1008.1
26.7	82	0.4	2.5	28.7	1007.4	1008
26.8	80	4.4	1.5	28.2	1005.4	1006
27.1	77	8.6	1.9	27.5	1004.4	1005
27	79	9.7	2	27.9	1003.6	1004.2
27.4	82	7.3	2.2	29.7	1002.9	1003.5
27.9	81	7.9	2.6	30.5	1001.7	1002.3
27.6	84	1	3.5	30.8	1002	1002.6
28.2	85	6.6	2.3	32.2	1007.1	1007.7
27.5	86	4.3	1.6	31.2	1008.1	1008.8
27.7	83	8.3	2.2	30.7	1007.7	1008.3
29.1	81	8.6	2.3	32.5	1005.3	1005.9
28.5	82	12.2	2.4	31.9	1006.8	1007.4
27.5	80	9.1	2.2	29.1	1010.4	1011
27.3	79	10.3	1.5	28.6	1011.9	1012.6
28.4	80	8.6	1.6	30.7	1013.4	1014
27.9	76	7.9	1.7	28.4	1012.5	1013.1
29.6	72	2	2.1	29.5	1009.9	1010.5
31.3	68	9.9	2.3	30.7	1009.5	1010.1
29.6	80	7.2	1.9	33.1	1010.8	1011.4
27.5	87	0.6	1.7	31.8	1010.2	1010.9
28.2	80	6.6	1.7	30.3	1009.6	1010.2
28.8	73	1.8	2.8	28.2	1007.7	1008.3
26.9	85	1.1	1.6	30	1010.4	1011
29.7	71	5.2	4.9	29.2	1003.4	1004
27.3	85	0.6	2.4	30.9	1002.5	1003.1
27.3	82	8.6	2.1	29.6	1006.8	1007.4
24.2	91	0.8	2	27.7	1008.9	1009.5
24.3	86	0.9	1.4	26.1	1010.7	1011.4
25.9	73	12.1	2.3	23.9	1009.5	1010.1
26.9	71	11.4	2.6	25.1	1007.8	1008.5
26.1	82	2.3	1.8	27.7	1010.9	1011.6
26.3	83	0.1	1.1	28.2	1013.5	1014.2
25.5	78	3.7	1.9	25.3	1014.1	1014.8
26.5	78	4.2	1.8	27	1014.7	1015.4
29	71	11.9	2.4	28.3	1015.6	1016.3
28.2	81	4	1.7	30.8	1017	1017.7
27.1	85	5.7	1.5	30.5	1015	1015.6
27	85	3.3	1.7	30.3	1009.9	1010.5
28.1	81	8.7	1.5	30.4	1008.1	1008.8
25.7	76	7.4	2.4	25.1	1016.5	1017.2
26.2	77	5.1	1.4	26.2	1014.9	1015.6
26.2	84	0.4	1.7	28.6	1014.3	1015
24.3	91	0.2	1.4	27.6	1015.6	1016.3
24.7	91	0.4	2.6	28.3	1011.7	1012.4
22	91	0.2	2.8	23.9	1004.9	1005.6
21	83	3.9	2.3	20.6	1013.6	1014.3
21	60	11.1	5.2	14.7	1017.2	1017.9
23	64	11	4.8	18	1015.3	1015.9
23.8	77	4.6	1.9	22.7	1013.3	1014
